310,Street Fighter II': Special Champion Edition (JP weekly sales),GEN,1993,Action,0
311,Streets of Rage 3,GEN,1993,Action,0
312,Dynamite Headdy,GEN,1993,Platform,0
313,Beyond Oasis,GEN,1993,Role-Playing,0
314,,GEN,1993,,0
315,Kirby's Adventure,NES,1993,Platform,2
316,Tetris 2,NES,1993,Puzzle,1
317,Mega Man 6,NES,1993,Platform,1
318,Jurassic Park,NES,1993,Action,0
319,The King of Fighters '94 (CD),NG,1993,Fighting,0
320,Samurai Shodown,NG,1993,Fighting,0
321,Sonic CD,SCD,1993,Platform,2
322,Super Mario All-Stars,SNES,1993,Platform,11
323,Star Fox,SNES,1993,Shooter,3
324,Super Street Fighter II,SNES,1993,Fighting,2
325,Mortal Kombat II,SNES,1993,Fighting,2
326,Secret of Mana,SNES,1993,Role-Playing,2
327,Disney's Aladdin,SNES,1993,Platform,2
328,Super Puyo Puyo,SNES,1993,Puzzle,2
329,Dragon Ball Z,SNES,1993,Fighting,1
330,Dragon Ball Z: La Legende Saien,SNES,1993,Fighting,1
331,Romancing SaGa 2,SNES,1993,Role-Playing,1
332,Mega Man X,SNES,1993,Platform,1
333,Dragon Quest I & II,SNES,1993,Role-Playing,1
334,Final Fight 2,SNES,1993,Action,1
335,Capcom's Soccer Shootout,SNES,1993,Sports,1
336,Torneko no Daibouken: Fushigi no Dungeon,SNES,1993,Role-Playing,1
337,Dragon Ball Z: Ultime Menace,SNES,1993,Fighting,1
338,J-League Soccer: Prime Goal,SNES,1993,Sports,1
339,Nobunaga no Yabou: Haouden,SNES,1993,Strategy,1
340,Mega Man X2,SNES,1993,Platform,1
341,Virtual Soccer,SNES,1993,Sports,1
342,Winning Post,SNES,1993,Sports,1
343,Mario & Wario,SNES,1993,Puzzle,0
344,Crayon Shin-Chan: Arashi o Yobu Enji,SNES,1993,Platform,0
345,Fatal Fury 2,SNES,1993,Fighting,0
346,Yuu Yuu Hakusho,SNES,1993,Fighting,0
347,Stunt Race FX,SNES,1993,Racing,0
348,Shin Momotarou Densetsu,SNES,1993,Role-Playing,0
349,Ganbare Goemon 2: Kiteretsu Shougun Magginesu,SNES,1993,Platform,0
350,Bishoujo Senshi Sailormoon R,SNES,1993,Fighting,0
351,Sailor Moon,SNES,1993,Action,0
352,Jissen Pachi-Slot Hisshouhou,SNES,1993,Misc,0
353,Thoroughbred Breeder,SNES,1993,Simulation,0
354,Mega Man Soccer,SNES,1993,Sports,0
355,Super Power League,SNES,1993,Sports,0
356,Illusion of Gaia,SNES,1993,Role-Playing,0
357,Harukanaru Augusta 2: Masters,SNES,1993,Sports,0
358,Classic Road,SNES,1993,Sports,0
359,Ranma 1/2: Akanekodan Teki Hihou,SNES,1993,Role-Playing,0
360,Lethal Enforcers,SNES,1993,Shooter,0
361,Ninja Warriors,SNES,1993,Action,0
362,Super Mahjong 2: Honkaku 4Jin Uchi,SNES,1993,Misc,0
363,Pop'n TwinBee: Rainbow Bell Adventure,SNES,1993,Platform,0
364,Doraemon 2: Nobita no Toizurando Daibouken,SNES,1993,Role-Playing,0
365,Pachinko Wars II,SNES,1993,Misc,0
366,Keiba Eight Special,SNES,1993,Sports,0
367,Rock N' Roll Racing,SNES,1993,Racing,0
368,Bust-A-Move,3DO,1994,Puzzle,0
369,Super Mario Land 3: Wario Land,GB,1994,Platform,5
370,Donkey Kong Land,GB,1994,Platform,4
371,Donkey Kong,GB,1994,Platform,3
372,Sonic & Knuckles,GEN,1994,Platform,2
373,Sonic the Hedgehog 3,GEN,1994,Platform,2
374,Disney's The Lion King,GEN,1994,Platform,1
375,Mortal Kombat 3,GEN,1994,Fighting,1
376,NBA Jam Tournament Edition,GEN,1994,Sports,1
377,Virtua Racing,GEN,1994,Racing,0
378,"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994,Role-Playing,0
379,Yuu Yuu Hakusho: Makyo Toitsusen,GEN,1994,Fighting,0
380,Dragon Slayer: The Legend of Heroes,GEN,1994,Role-Playing,0
381,J-League Pro Striker 2,GEN,1994,Sports,0
382,Castlevania Bloodlines,GEN,1994,Platform,0
383,Puzzle & Action: Tant-R,GEN,1994,Misc,0
384,Final Fantasy I & II,NES,1994,Role-Playing,0
385,Samurai Shodown II,NG,1994,Fighting,0
386,The King of Fighters '95 (CD),NG,1994,Fighting,0
387,Samurai Spirits (CD),NG,1994,Fighting,0
388,The King of Fighters '94,NG,1994,Fighting,0
389,Doom II: Hell on Earth,PC,1994,Shooter,4
390,Myst,PC,1994,Adventure,3
391,Monopoly,PC,1994,Misc,2
392,Warcraft: Orcs & Humans,PC,1994,Strategy,2
393,Star Wars: Dark Forces,PC,1994,Shooter,2
394,Mortal Kombat,PC,1994,Fighting,0
395,Battle Arena Toshinden,PS,1994,Fighting,1
396,Ridge Racer,PS,1994,Racing,1
397,Doom,PS,1994,Shooter,1
398,Theme Park,PS,1994,Simulation,1
399,NHL FaceOff,PS,1994,Sports,0
400,ESPN Extreme Games,PS,1994,Sports,0
401,Kileak: The DNA Imperative,PS,1994,Shooter,0
402,Parodius,PS,1994,Shooter,0
403,A. IV Evolution: A Ressha de Ikou 4,PS,1994,Strategy,0
404,ThunderStrike 2,PS,1994,Simulation,0
405,Primal Rage,PS,1994,Fighting,0
406,Jikkyou Powerful Pro Yakyuu '95,PS,1994,Sports,0
407,Jupiter Strike,PS,1994,Shooter,0
408,Crime Crackers,PS,1994,Role-Playing,0
409,King's Field (Japan),PS,1994,Role-Playing,0
410,Motor Toon Grand Prix (Japan),PS,1994,Racing,0
411,Discworld,PS,1994,Adventure,0
412,Virtua Fighter,SAT,1994,Fighting,1
413,Daytona USA,SAT,1994,Racing,1
414,Decathlete,SAT,1994,Sports,0
415,SimCity 2000,SAT,1994,Simulation,0
416,Galactic Attack,SAT,1994,Shooter,0
417,Wing Arms,SAT,1994,Shooter,0
418,F1 Challenge,SAT,1994,Racing,0
419,Battle Arena Toshinden Remix,SAT,1994,Fighting,0
420,Center Ring Boxing,SAT,1994,Fighting,0
421,Clockwork Knight,SAT,1994,Platform,0
422,Theme Park,SAT,1994,Simulation,0
423,Gale Racer,SAT,1994,Racing,0
424,Robotica,SAT,1994,Shooter,0
425,Worldwide Soccer,SAT,1994,Sports,0
426,Myst,SAT,1994,Adventure,0
427,Golden Axe: The Duel,SAT,1994,Fighting,0
428,World Series Baseball,SAT,1994,Sports,0
429,Galaxy Fight,SAT,1994,Fighting,0
430,Pebble Beach Golf Links,SAT,1994,Sports,0
431,Shining Force CD,SCD,1994,Strategy,0
432,Formula One World Championship: Beyond the Limit,SCD,1994,Racing,0
433,Record of Lodoss War: Eiyuu Sensou,SCD,1994,Role-Playing,0
434,Game no Kanzume Vol 2,SCD,1994,Misc,0
435,Game no Kanzume Vol 1,SCD,1994,Misc,0
436,Donkey Kong Country,SNES,1994,Platform,9
437,Final Fantasy III,SNES,1994,Role-Playing,3
438,Disney's The Lion King,SNES,1994,Platform,2
439,Mortal Kombat 3,SNES,1994,Fighting,2
440,Super Metroid,SNES,1994,Action,1
441,NBA Jam,SNES,1994,Sports,1
442,Super Momotarou Dentetsu III,SNES,1994,Simulation,1
443,Derby Stallion II,SNES,1994,Sports,1
444,Kamaitachi no Yoru,SNES,1994,Adventure,1
445,Super Bomberman 2,SNES,1994,Puzzle,1
446,EarthBound,SNES,1994,Role-Playing,1
447,Super Bomberman 3,SNES,1994,Puzzle,1
448,Fire Emblem: Monsh? no Nazo,SNES,1994,Role-Playing,1
449,Kirby's Dream Course,SNES,1994,Sports,1
450,Fatal Fury Special,SNES,1994,Fighting,1
451,Romance of the Three Kingdoms IV: Wall of Fire,SNES,1994,Strategy,1
452,J-League Soccer: Prime Goal 2,SNES,1994,Sports,1
453,Space Invaders,SNES,1994,Shooter,0
454,Wonder Project J: Kikai no Shonen Pino,SNES,1994,Simulation,0
455,Jikkyou Powerful Pro Yakuu '94,SNES,1994,Sports,0
456,Samurai Shodown,SNES,1994,Fighting,0
457,Super Famista 3,SNES,1994,Sports,0
458,Super Formation Soccer 94,SNES,1994,Sports,0
459,Super Robot Taisen EX,SNES,1994,Strategy,0
460,Shin Megami Tensei II,SNES,1994,Role-Playing,0
461,Zero4 Champ RR,SNES,1994,Sports,0
462,Super Fire ProWrestling Special,SNES,1994,Fighting,0
463,Breath of Fire II,SNES,1994,Role-Playing,0
464,Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,SNES,1994,Platform,0
465,Super Power League 2,SNES,1994,Sports,0
466,Live A Live,SNES,1994,Role-Playing,0
467,Yuu Yuu Hakusho 2: Kakutou no Sho,SNES,1994,Fighting,0
468,Daikaijyuu Monogatari,SNES,1994,Role-Playing,0
469,Itadaki Street 2: Neon Sign wa Bara Iro ni,SNES,1994,Misc,0
470,International Superstar Soccer,SNES,1994,Sports,0
471,Slam Dunk: Yonkyo Taiketsu!!,SNES,1994,Sports,0
472,Thoroughbred Breeder II,SNES,1994,Simulation,0
473,Drift King Shutokou Battle '94,SNES,1994,Racing,0
474,SD Gundam GX,SNES,1994,Strategy,0
475,Gokujou Parodius,SNES,1994,Shooter,0
476,Saturday Night Slam Masters,SNES,1994,Fighting,0
477,Slayers,SNES,1994,Role-Playing,0
478,Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,SNES,1994,Fighting,0
479,Majin Tensei,SNES,1994,Role-Playing,0
480,Derby Jockey: Kishou e no Michi,SNES,1994,Sports,0
481,Kenyuu Densetsu Yaiba,SNES,1994,Action,0
482,Hisshou 777 Fighter: Pachi Slot Eiyu Densetsu,SNES,1994,Misc,0
483,First Queen: Ornic Senki,SNES,1994,Role-Playing,0
484,Gaia Saver Hero Saidai no Sakusen,SNES,1994,Role-Playing,0
485,Kidou Senshi V Gundam,SNES,1994,Action,0
486,The Great Battle Gaiden 2: Matsuri da Wasshoi,SNES,1994,Action,0
487,Sugoi Hebereke,SNES,1994,Fighting,0
488,World Class Rugby 2: Kokunai Gekitou Hen '93,SNES,1994,Sports,0
489,Policenauts,3DO,1995,Adventure,0
490,Sotsugyou II: Neo Generation Special,3DO,1995,Simulation,0
491,Kirby's Dream Land 2,GB,1995,Platform,2
492,Mario's Picross,GB,1995,Puzzle,1
493,Kirby's Block Ball,GB,1995,Puzzle,0
494,Gameboy Gallery,GB,1995,Misc,0
495,The King of Fighters '95,NG,1995,Fighting,0
496,Samurai Shodown III,NG,1995,Fighting,0
497,Far East of Eden Shinden,NG,1995,Fighting,0
498,Super Dodge Ball,NG,1995,Sports,0
499,Warcraft II: Tides of Darkness,PC,1995,Strategy,4
500,You Don't Know Jack,PC,1995,Misc,0
501,Namco Museum Vol.1,PS,1995,Misc,4
502,Tekken,PS,1995,Fighting,3
503,Rayman,PS,1995,Platform,3
504,Air Combat,PS,1995,Simulation,2
505,Twisted Metal,PS,1995,Action,2
506,Road Rash,PS,1995,Racing,1
507,Arc the Lad,PS,1995,Role-Playing,1
508,Ridge Racer Revolution,PS,1995,Racing,1
509,Road & Track Presents: The Need for Speed,PS,1995,Racing,1
510,Destruction Derby,PS,1995,Racing,1
511,Gex,PS,1995,Platform,1
512,NFL GameDay,PS,1995,Sports,1
513,Street Fighter Alpha: Warriors' Dreams,PS,1995,Fighting,1
514,Battle Arena Toshinden 2,PS,1995,Fighting,1
515,Suikoden,PS,1995,Role-Playing,1
516,Tokimeki Memorial: Forever with You,PS,1995,Simulation,1
517,Beyond The Beyond,PS,1995,Role-Playing,1
518,Mortal Kombat 3,PS,1995,Fighting,1
519,Bases Loaded '96: Double Header,PS,1995,Sports,1
520,WipEout,PS,1995,Action,0
521,Warhawk,PS,1995,Simulation,0
522,Persona,PS,1995,Role-Playing,0
523,Mobile Suit Gundam,PS,1995,Action,0
524,Boxer's Road,PS,1995,Fighting,0
525,Shin Nippon Pro Wrestling: Toukon Retsuden,PS,1995,Fighting,0
526,Extreme Pinball,PS,1995,Misc,0
527,NBA ShootOut,PS,1995,Sports,0
528,Jumping Flash!,PS,1995,Platform,0
